start_date,Team,Odds
2023-11-05,Denver Nuggets,1.25
2023-11-05,Chicago Bulls,4.16
2023-11-05,Brooklyn Nets,4.61
2023-11-05,Boston Celtics,1.21
2023-11-05,Houston Rockets,2.18
2023-11-05,Sacramento Kings,1.72
2023-11-05,Minnesota Timberwolves,1.32
2023-11-05,Utah Jazz,3.51
2023-11-05,Indiana Pacers,1.52
2023-11-05,Charlotte Hornets,2.64
2023-11-05,New Orleans Pelicans,1.79
2023-11-05,Atlanta Hawks,2.1
2023-11-05,Orlando Magic,2.38
2023-11-05,Los Angeles Lakers,1.62
2023-11-05,Philadelphia 76ers,1.39
2023-11-05,Phoenix Suns,3.07
2023-11-06,Portland Trail Blazers,2.32
2023-11-06,Memphis Grizzlies,1.65
2023-11-06,Dallas Mavericks,1.18
2023-11-06,Charlotte Hornets,5.31
2023-11-06,Cleveland Cavaliers,1.88
2023-11-06,Golden State Warriors,1.98
2023-11-06,San Antonio Spurs,2.42
2023-11-06,Toronto Raptors,1.6
2023-11-06,Detroit Pistons,2.35
2023-11-06,Phoenix Suns,1.64
2023-11-07,Denver Nuggets,1.4
2023-11-07,New Orleans Pelicans,3.09
2023-11-07,Chicago Bulls,1.58
2023-11-07,Utah Jazz,2.47
2023-11-07,Houston Rockets,2.11
2023-11-07,Sacramento Kings,1.78
2023-11-07,Minnesota Timberwolves,2.36
2023-11-07,Boston Celtics,1.63
2023-11-07,Oklahoma City Thunder,1.94
2023-11-07,Atlanta Hawks,1.92
2023-11-07,Brooklyn Nets,2.62
2023-11-07,Milwaukee Bucks,1.52
2023-11-07,Miami Heat,1.81
2023-11-07,Los Angeles Lakers,2.07
2023-11-07,New York Knicks,1.84
2023-11-07,Los Angeles Clippers,2.03
2023-11-07,Detroit Pistons,4.04
2023-11-07,Golden State Warriors,1.26
2023-11-07,Indiana Pacers,1.28
2023-11-07,San Antonio Spurs,3.89
2023-11-07,Orlando Magic,1.93
2023-11-07,Dallas Mavericks,1.93
2023-11-07,Philadelphia 76ers,1.18
2023-11-07,Washington Wizards,5.17
2023-11-09,Denver Nuggets,1.54
2023-11-09,Golden State Warriors,2.59
2023-11-09,Sacramento Kings,1.31
2023-11-09,Portland Trail Blazers,3.6
2023-11-09,Dallas Mavericks,1.59
2023-11-09,Toronto Raptors,2.46
2023-11-09,Chicago Bulls,1.96
2023-11-09,Phoenix Suns,1.9
2023-11-09,Houston Rockets,2.1
2023-11-09,Los Angeles Lakers,1.78
2023-11-09,Memphis Grizzlies,2.08
2023-11-09,Miami Heat,1.8
2023-11-09,Milwaukee Bucks,1.15
2023-11-09,Detroit Pistons,5.82
2023-11-09,Minnesota Timberwolves,1.24
2023-11-09,New Orleans Pelicans,4.28
2023-11-09,Oklahoma City Thunder,2.1
2023-11-09,Cleveland Cavaliers,1.78
2023-11-09,Brooklyn Nets,2.77
2023-11-09,Los Angeles Clippers,1.48
2023-11-09,New York Knicks,1.26
2023-11-09,San Antonio Spurs,4.02
2023-11-09,Charlotte Hornets,1.75
2023-11-09,Washington Wizards,2.14
2023-11-09,Indiana Pacers,1.43
2023-11-09,Utah Jazz,2.94
2023-11-09,Philadelphia 76ers,2.22
2023-11-09,Boston Celtics,1.7
2023-11-10,Orlando Magic,2.34
2023-11-10,Atlanta Hawks,1.64
2023-11-10,Indiana Pacers,1.99
2023-11-10,Milwaukee Bucks,1.86
2023-11-11,Phoenix Suns,1.73
2023-11-11,Los Angeles Lakers,2.19
2023-11-11,Sacramento Kings,2.04
2023-11-11,Oklahoma City Thunder,1.82
2023-11-11,Dallas Mavericks,1.86
2023-11-11,Los Angeles Clippers,2
2023-11-11,Houston Rockets,1.68
2023-11-11,New Orleans Pelicans,2.26
2023-11-11,Memphis Grizzlies,1.51
2023-11-11,Utah Jazz,2.67
2023-11-11,San Antonio Spurs,3.37
2023-11-11,Minnesota Timberwolves,1.35
2023-11-11,Boston Celtics,1.16
2023-11-11,Brooklyn Nets,5.65
2023-11-11,Detroit Pistons,3.92
2023-11-11,Philadelphia 76ers,1.27
2023-11-11,Washington Wizards,1.67
2023-11-11,Charlotte Hornets,2.28
2023-11-12,Golden State Warriors,1.56
2023-11-12,Cleveland Cavaliers,2.52
2023-11-12,Atlanta Hawks,1.33
2023-11-12,Miami Heat,3.49
2023-11-12,Boston Celtics,1.26
2023-11-12,Toronto Raptors,4.05
2023-11-12,Orlando Magic,2.13
2023-11-12,Milwaukee Bucks,1.77
2023-11-13,Los Angeles Lakers,1.27
2023-11-13,Portland Trail Blazers,3.96
2023-11-13,Golden State Warriors,1.66
2023-11-13,Minnesota Timberwolves,2.32
2023-11-13,Phoenix Suns,1.61
2023-11-13,Oklahoma City Thunder,2.4
2023-11-13,Chicago Bulls,1.39
2023-11-13,Detroit Pistons,3.1
2023-11-13,Houston Rockets,2.64
2023-11-13,Denver Nuggets,1.52
2023-11-13,New Orleans Pelicans,2.38
2023-11-13,Dallas Mavericks,1.62
2023-11-13,San Antonio Spurs,2.07
2023-11-13,Miami Heat,1.8
2023-11-13,Philadelphia 76ers,1.39
2023-11-13,Indiana Pacers,3.15
2023-11-13,Los Angeles Clippers,1.29
2023-11-13,Memphis Grizzlies,3.78
2023-11-13,Brooklyn Nets,1.37
2023-11-13,Washington Wizards,3.26
2023-11-13,New York Knicks,1.2
2023-11-13,Charlotte Hornets,4.86
2023-11-14,Sacramento Kings,1.92
2023-11-14,Cleveland Cavaliers,1.93
2023-11-14,Milwaukee Bucks,1.24
2023-11-14,Chicago Bulls,4.34
2023-11-14,Boston Celtics,1.24
2023-11-14,New York Knicks,4.36
2023-11-14,Toronto Raptors,1.29
2023-11-14,Washington Wizards,3.85
2023-11-15,Los Angeles Lakers,1.4
2023-11-15,Memphis Grizzlies,3.11
2023-11-15,Denver Nuggets,1.54
2023-11-15,Los Angeles Clippers,2.59
2023-11-15,Golden State Warriors,2.3
2023-11-15,Minnesota Timberwolves,1.66
2023-11-15,Utah Jazz,1.38
2023-11-15,Portland Trail Blazers,3.18
2023-11-15,New Orleans Pelicans,2.35
2023-11-15,Dallas Mavericks,1.63
2023-11-15,Brooklyn Nets,1.7
2023-11-15,Orlando Magic,2.22
2023-11-15,Oklahoma City Thunder,1.21
2023-11-15,San Antonio Spurs,4.71
2023-11-15,Charlotte Hornets,2.98
2023-11-15,Miami Heat,1.42
2023-11-15,Detroit Pistons,2.58
2023-11-15,Atlanta Hawks,1.54
2023-11-15,Philadelphia 76ers,1.46
2023-11-15,Indiana Pacers,2.84
2023-11-16,Los Angeles Lakers,1.92
2023-11-16,Sacramento Kings,1.95
2023-11-16,Portland Trail Blazers,4.45
2023-11-16,Cleveland Cavaliers,1.22
2023-11-16,Phoenix Suns,1.57
2023-11-16,Minnesota Timberwolves,2.51
2023-11-16,Chicago Bulls,1.75
2023-11-16,Orlando Magic,2.14
2023-11-16,Atlanta Hawks,1.85
2023-11-16,New York Knicks,2.01
2023-11-16,Philadelphia 76ers,1.97
2023-11-16,Boston Celtics,1.88
2023-11-16,Toronto Raptors,2
2023-11-16,Milwaukee Bucks,1.87
2023-11-16,Washington Wizards,2.5
2023-11-16,Dallas Mavericks,1.57
2023-11-17,Golden State Warriors,2.33
2023-11-17,Oklahoma City Thunder,1.64
2023-11-17,Miami Heat,1.62
2023-11-17,Brooklyn Nets,2.39
2023-11-18,Los Angeles Clippers,1.35
2023-11-18,Houston Rockets,3.37
2023-11-18,Portland Trail Blazers,4.3
2023-11-18,Los Angeles Lakers,1.24
2023-11-18,Utah Jazz,2.7
2023-11-18,Phoenix Suns,1.49
2023-11-18,Chicago Bulls,1.61
2023-11-18,Orlando Magic,2.4
2023-11-18,New Orleans Pelicans,2.61
2023-11-18,Denver Nuggets,1.52
2023-11-18,Atlanta Hawks,2.03
2023-11-18,Philadelphia 76ers,1.84
2023-11-18,Cleveland Cavaliers,1.27
2023-11-18,Detroit Pistons,3.91
2023-11-18,San Antonio Spurs,3.85
2023-11-18,Sacramento Kings,1.28
2023-11-18,Toronto Raptors,4.01
2023-11-18,Boston Celtics,1.27
2023-11-18,Charlotte Hornets,3.88
2023-11-18,Milwaukee Bucks,1.28
2023-11-18,Washington Wizards,3.29
2023-11-18,New York Knicks,1.36
2023-11-19,Golden State Warriors,1.77
2023-11-19,Oklahoma City Thunder,2.12
2023-11-19,Chicago Bulls,2.07
2023-11-19,Miami Heat,1.81
2023-11-19,Milwaukee Bucks,1.81
2023-11-19,Dallas Mavericks,2.07
2023-11-19,San Antonio Spurs,2.29
2023-11-19,Memphis Grizzlies,1.66
2023-11-19,New Orleans Pelicans,3.37
2023-11-19,Minnesota Timberwolves,1.35
2023-11-19,Charlotte Hornets,3.04
2023-11-19,New York Knicks,1.4
2023-11-20,Los Angeles Lakers,1.43
2023-11-20,Houston Rockets,2.91
2023-11-20,Portland Trail Blazers,3.24
2023-11-20,Oklahoma City Thunder,1.37
2023-11-20,Memphis Grizzlies,5.72
2023-11-20,Boston Celtics,1.15
2023-11-20,Utah Jazz,2.61
2023-11-20,Phoenix Suns,1.53
2023-11-20,Dallas Mavericks,1.85
2023-11-20,Sacramento Kings,2.02
2023-11-20,Cleveland Cavaliers,2.55
2023-11-20,Denver Nuggets,1.55
2023-11-20,Indiana Pacers,1.54
2023-11-20,Orlando Magic,2.58
2023-11-20,Toronto Raptors,1.24
2023-11-20,Detroit Pistons,4.29
2023-11-20,Brooklyn Nets,2.38
2023-11-20,Philadelphia 76ers,1.62
2023-11-21,Golden State Warriors,1.35
2023-11-21,Houston Rockets,3.35
2023-11-21,Chicago Bulls,2.06
2023-11-21,Miami Heat,1.82
2023-11-21,Minnesota Timberwolves,1.74
2023-11-21,New York Knicks,2.18
2023-11-21,New Orleans Pelicans,2.04
2023-11-21,Sacramento Kings,1.83
2023-11-21,San Antonio Spurs,3.97
2023-11-21,Los Angeles Clippers,1.27
2023-11-21,Charlotte Hornets,3.87
2023-11-21,Boston Celtics,1.28
2023-11-21,Detroit Pistons,4.37
2023-11-21,Denver Nuggets,1.23
2023-11-21,Washington Wizards,4.58
2023-11-21,Milwaukee Bucks,1.22
2023-11-21,Atlanta Hawks,1.66
2023-11-21,Brooklyn Nets,2.31
2023-11-21,Boston Celtics,1.42
2023-11-21,Milwaukee Bucks,2.99
2023-11-22,Los Angeles Lakers,1.34
2023-11-22,Utah Jazz,3.43
2023-11-22,Phoenix Suns,1.14
2023-11-22,Portland Trail Blazers,6.32
2023-11-22,Atlanta Hawks,1.62
2023-11-22,Indiana Pacers,2.38
2023-11-22,Philadelphia 76ers,1.31
2023-11-22,Cleveland Cavaliers,3.65
2023-11-22,Orlando Magic,1.83
2023-11-22,Toronto Raptors,2.04
2023-11-23,Los Angeles Lakers,1.96
2023-11-23,Dallas Mavericks,1.9
2023-11-23,Phoenix Suns,1.69
2023-11-23,Golden State Warriors,2.23
2023-11-23,Portland Trail Blazers,2.31
2023-11-23,Utah Jazz,1.65
2023-11-23,Houston Rockets,1.49
2023-11-23,Memphis Grizzlies,2.7
2023-11-23,Minnesota Timberwolves,1.36
2023-11-23,Philadelphia 76ers,3.26
2023-11-23,New Orleans Pelicans,2.02
2023-11-23,Sacramento Kings,1.85
2023-11-23,Oklahoma City Thunder,1.36
2023-11-23,Chicago Bulls,3.3
2023-11-23,San Antonio Spurs,3.66
2023-11-23,Los Angeles Clippers,1.31
2023-11-23,Atlanta Hawks,1.66
2023-11-23,Brooklyn Nets,2.31
2023-11-23,Boston Celtics,1.42
2023-11-23,Milwaukee Bucks,2.99
2023-11-23,Cleveland Cavaliers,1.85
2023-11-23,Miami Heat,2.02
2023-11-23,Indiana Pacers,1.73
2023-11-23,Toronto Raptors,2.19
2023-11-23,Charlotte Hornets,1.6
2023-11-23,Washington Wizards,2.42
2023-11-23,Orlando Magic,2.34
2023-11-23,Denver Nuggets,1.64
2023-11-25,Los Angeles Clippers,1.49
2023-11-25,New Orleans Pelicans,2.72
2023-11-25,Golden State Warriors,1.22
2023-11-25,San Antonio Spurs,4.49
2023-11-25,Houston Rockets,2.26
2023-11-25,Denver Nuggets,1.68
2023-11-25,Indiana Pacers,1.26
2023-11-25,Detroit Pistons,4.12
2023-11-25,Milwaukee Bucks,1.12
2023-11-25,Washington Wizards,6.82
2023-11-25,Minnesota Timberwolves,1.55
2023-11-25,Sacramento Kings,2.57
2023-11-25,New York Knicks,1.5
2023-11-25,Miami Heat,2.68
2023-11-25,Toronto Raptors,1.51
2023-11-25,Chicago Bulls,2.67
2023-11-25,Memphis Grizzlies,2.38
2023-11-25,Phoenix Suns,1.61
2023-11-25,Orlando Magic,2.79
2023-11-25,Boston Celtics,1.47
2023-11-26,Los Angeles Clippers,1.84
2023-11-26,Dallas Mavericks,2.02
2023-11-26,Utah Jazz,2.27
2023-11-26,New Orleans Pelicans,1.68
2023-11-26,Cleveland Cavaliers,1.57
2023-11-26,Los Angeles Lakers,2.51
2023-11-26,Washington Wizards,3.73
2023-11-26,Atlanta Hawks,1.29
2023-11-26,Brooklyn Nets,1.35
2023-11-26,Miami Heat,3.32
2023-11-26,Oklahoma City Thunder,2
2023-11-26,Philadelphia 76ers,1.86
2023-11-27,Denver Nuggets,1.19
2023-11-27,San Antonio Spurs,4.98
2023-11-27,Brooklyn Nets,1.68
2023-11-27,Chicago Bulls,2.25
2023-11-27,Cleveland Cavaliers,1.66
2023-11-27,Toronto Raptors,2.3
2023-11-27,Boston Celtics,1.35
2023-11-27,Atlanta Hawks,3.37
2023-11-27,Memphis Grizzlies,3.08
2023-11-27,Minnesota Timberwolves,1.4
2023-11-27,New York Knicks,1.49
2023-11-27,Phoenix Suns,2.75
2023-11-27,Orlando Magic,1.39
2023-11-27,Charlotte Hornets,3.1
2023-11-27,Milwaukee Bucks,1.13
2023-11-27,Portland Trail Blazers,6.52
2023-11-28,Los Angeles Clippers,1.19
2023-11-28,Denver Nuggets,5.09
2023-11-28,Utah Jazz,3.02
2023-11-28,New Orleans Pelicans,1.41
2023-11-28,Detroit Pistons,1.75
2023-11-28,Washington Wizards,2.14
2023-11-28,Indiana Pacers,1.16
2023-11-28,Portland Trail Blazers,5.75
2023-11-28,Philadelphia 76ers,1.46
2023-11-28,Los Angeles Lakers,2.82
2023-11-29,Sacramento Kings,1.79
2023-11-29,Golden State Warriors,2.08
2023-11-29,Dallas Mavericks,1.58
2023-11-29,Houston Rockets,2.48
2023-11-29,Minnesota Timberwolves,1.66
2023-11-29,Oklahoma City Thunder,2.29
2023-11-29,Boston Celtics,1.14
2023-11-29,Chicago Bulls,6.18
2023-11-29,Brooklyn Nets,1.82
2023-11-29,Toronto Raptors,2.06
2023-11-29,Cleveland Cavaliers,1.55
2023-11-29,Atlanta Hawks,2.54
2023-11-29,Miami Heat,2.58
2023-11-29,Milwaukee Bucks,1.54
2023-11-29,New York Knicks,1.17
2023-11-29,Charlotte Hornets,5.46
2023-11-30,Sacramento Kings,2.06
2023-11-30,Los Angeles Clippers,1.81
2023-11-30,Denver Nuggets,1.22
2023-11-30,Houston Rockets,4.55
2023-11-30,Memphis Grizzlies,1.62
2023-11-30,Utah Jazz,2.39
2023-11-30,New Orleans Pelicans,1.81
2023-11-30,Philadelphia 76ers,2.12
2023-11-30,Toronto Raptors,2.33
2023-11-30,Phoenix Suns,1.65
2023-11-30,Detroit Pistons,3.52
2023-11-30,Los Angeles Lakers,1.32
2023-11-30,Orlando Magic,1.23
2023-11-30,Washington Wizards,4.42
2023-12-01,Golden State Warriors,1.78
2023-12-01,Los Angeles Clippers,2.11
2023-12-01,Chicago Bulls,4.74
2023-12-01,Milwaukee Bucks,1.21
2023-12-01,Minnesota Timberwolves,1.17
2023-12-01,Utah Jazz,5.47
2023-12-01,Oklahoma City Thunder,1.52
2023-12-01,Los Angeles Lakers,2.63
2023-12-01,San Antonio Spurs,3.06
2023-12-01,Atlanta Hawks,1.41
2023-12-01,Brooklyn Nets,1.27
2023-12-01,Charlotte Hornets,4.01
2023-12-01,Miami Heat,1.61
2023-12-01,Indiana Pacers,2.41
2023-12-01,New York Knicks,1.11
2023-12-01,Detroit Pistons,7.29
2023-12-01,Cleveland Cavaliers,1.16
2023-12-01,Portland Trail Blazers,5.56
2023-12-02,Phoenix Suns,1.94
2023-12-02,Denver Nuggets,1.92
2023-12-02,New Orleans Pelicans,1.14
2023-12-02,San Antonio Spurs,6.22
2023-12-02,Boston Celtics,1.17
2023-12-02,Philadelphia 76ers,5.55
2023-12-02,Dallas Mavericks,1.43
2023-12-02,Memphis Grizzlies,2.94
2023-12-02,Toronto Raptors,1.81
2023-12-02,New York Knicks,2.06
2023-12-02,Orlando Magic,1.21
2023-12-02,Washington Wizards,4.72
2023-12-03,Los Angeles Lakers,1.51
2023-12-03,Houston Rockets,2.65
2023-12-03,Sacramento Kings,1.63
2023-12-03,Denver Nuggets,2.33
2023-12-03,Utah Jazz,1.85
2023-12-03,Portland Trail Blazers,2.01
2023-12-03,Dallas Mavericks,2.66
2023-12-03,Oklahoma City Thunder,1.51
2023-12-03,Phoenix Suns,1.21
2023-12-03,Memphis Grizzlies,4.62
2023-12-03,Chicago Bulls,2
2023-12-03,New Orleans Pelicans,1.86
2023-12-03,Miami Heat,1.54
2023-12-03,Indiana Pacers,2.57
2023-12-03,Milwaukee Bucks,1.4
2023-12-03,Atlanta Hawks,3.06
2023-12-03,Brooklyn Nets,1.74
2023-12-03,Orlando Magic,2.15
2023-12-03,Detroit Pistons,4.12
2023-12-03,Cleveland Cavaliers,1.26
2023-12-03,Charlotte Hornets,2.72
2023-12-03,Minnesota Timberwolves,1.49
2023-12-03,Los Angeles Clippers,1.48
2023-12-03,Golden State Warriors,2.75
2023-12-05,Sacramento Kings,1.63
2023-12-05,New Orleans Pelicans,2.35
2023-12-05,Indiana Pacers,2.63
2023-12-05,Boston Celtics,1.52
2023-12-06,Los Angeles Lakers,1.79
2023-12-06,Phoenix Suns,2.09
2023-12-06,Milwaukee Bucks,1.53
2023-12-06,New York Knicks,2.61
2023-12-07,Golden State Warriors,1.14
2023-12-07,Portland Trail Blazers,6.23
2023-12-07,Los Angeles Clippers,1.92
2023-12-07,Denver Nuggets,1.93
2023-12-07,Dallas Mavericks,1.17
2023-12-07,Utah Jazz,5.39
2023-12-07,Chicago Bulls,1.51
2023-12-07,Charlotte Hornets,2.67
2023-12-07,Houston Rockets,2.09
2023-12-07,Oklahoma City Thunder,1.79
2023-12-07,Atlanta Hawks,1.62
2023-12-07,Brooklyn Nets,2.37
2023-12-07,Minnesota Timberwolves,1.16
2023-12-07,San Antonio Spurs,5.75
2023-12-07,Toronto Raptors,1.58
2023-12-07,Miami Heat,2.48
2023-12-07,Cleveland Cavaliers,1.56
2023-12-07,Orlando Magic,2.51
2023-12-07,Detroit Pistons,2.1
2023-12-07,Memphis Grizzlies,1.79
2023-12-07,Washington Wizards,4.7
2023-12-07,Philadelphia 76ers,1.21
2023-12-08,Los Angeles Lakers,1.76
2023-12-08,New Orleans Pelicans,2.13
2023-12-08,Milwaukee Bucks,1.49
2023-12-08,Indiana Pacers,2.73
2023-12-09,Portland Trail Blazers,4.54
2023-12-09,Dallas Mavericks,1.22
2023-12-09,Utah Jazz,3.62
2023-12-09,Los Angeles Clippers,1.31
2023-12-09,Denver Nuggets,1.26
2023-12-09,Houston Rockets,4.07
2023-12-09,Phoenix Suns,2.29
2023-12-09,Sacramento Kings,1.67
2023-12-09,San Antonio Spurs,2.13
2023-12-09,Chicago Bulls,1.76
2023-12-09,Memphis Grizzlies,2.83
2023-12-09,Minnesota Timberwolves,1.46
2023-12-09,Miami Heat,2.02
2023-12-09,Cleveland Cavaliers,1.84
2023-12-09,Oklahoma City Thunder,1.65
2023-12-09,Golden State Warriors,2.31
2023-12-09,Boston Celtics,1.32
2023-12-09,New York Knicks,3.55
2023-12-09,Brooklyn Nets,1.26
2023-12-09,Washington Wizards,4.16
2023-12-09,Charlotte Hornets,2.76
2023-12-09,Toronto Raptors,1.48
2023-12-09,Orlando Magic,1.2
2023-12-09,Detroit Pistons,4.8
2023-12-09,Philadelphia 76ers,1.26
2023-12-09,Atlanta Hawks,4.04
2023-12-10,Los Angeles Lakers,1.58
2023-12-10,Indiana Pacers,2.48
2023-12-12,Los Angeles Clippers,1.1
2023-12-12,Portland Trail Blazers,7.53
2023-12-12,Sacramento Kings,1.54
2023-12-12,Brooklyn Nets,2.57
2023-12-12,Houston Rockets,1.26
2023-12-12,San Antonio Spurs,4.02
2023-12-12,Memphis Grizzlies,1.96
2023-12-12,Dallas Mavericks,1.9
2023-12-12,Milwaukee Bucks,1.17
2023-12-12,Chicago Bulls,5.47
2023-12-12,New Orleans Pelicans,1.6
2023-12-12,Minnesota Timberwolves,2.43
2023-12-12,Oklahoma City Thunder,1.13
2023-12-12,Utah Jazz,6.57
2023-12-12,Atlanta Hawks,2.29
2023-12-12,Denver Nuggets,1.66
2023-12-12,New York Knicks,1.59
2023-12-12,Toronto Raptors,2.46
2023-12-12,Charlotte Hornets,2.47
2023-12-12,Miami Heat,1.58
2023-12-12,Detroit Pistons,3.35
2023-12-12,Indiana Pacers,1.36
2023-12-12,Orlando Magic,1.75
2023-12-12,Cleveland Cavaliers,2.15
2023-12-12,Philadelphia 76ers,1.13
2023-12-12,Washington Wizards,6.64
2023-12-14,Washington Wizards,3.15
2023-12-14,New Orelans Pelicans,1.38
2023-12-14,Detroit Pistons,6.25
2023-12-14,Philadelphia 76ers,1.13
2023-12-14,Toronto Raptors,1.72
2023-12-14,Atlanta Hawks,2.15
2023-12-14,Miami Heat,1.3
2023-12-14,Charlotte Hornets,3.7
2023-12-14,Milwaukee Bucks,1.38
2023-12-14,Indiana Pacers,3.1
2023-12-14,Houston Rockets,1.22
2023-12-14,Memphis Grizzlies,4.5
2023-12-14,San Antonio Spurs,2.4
2023-12-14,Los Angeles Lakers,1.6
2023-12-14,Utah Jazz,2.85
2023-12-14,New York Knicks,1.45
2023-12-14,Phoenix Suns,1.55
2023-12-14,Brooklyn Nets,2.5
